Region,Air Quality Index 2019
Alabama,37.9
Alaska,25.8
Arizona,52.3
Arkansas,39.3
California,55.5
Colorado,47.1
Connecticut,41.4
Delaware,42
Florida,37.2
Georgia,38.7
Hawaii,19.2
Idaho,37.1
Illinois,42.8
Indiana,39.7
Iowa,40.5
Kansas,38.9
Kentucky,39.6
Louisiana,36.6
Maine,34.5
Maryland,40.6
Massachusetts,38.6
Michigan,40.7
Minnesota,36.6
Mississippi,38.2
Missouri,38.9
Montana,40.5
Nebraska,31.9
Nevada,45
New Hampshire,36.4
New Jersey,40.7
New Mexico,42.8
New York,37
North Carolina,37.5
North Dakota,41.9
Ohio,40.1
Oklahoma,43.6
Oregon,34
Pennsylvania,41
Rhode Island,35.6
South Carolina,38.1
South Dakota,37
Tennessee,36.8
Texas,38.9
Utah,49.4
Vermont,34.9
Virginia,34.4
Washington,29.9
West Virginia,36
Wisconsin,40.8
Wyoming,41
